schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,wheel,schedule_type,trial
0.7,209,0.1867739052725648,0.0016724140000405896,0.8564593301435407,0.8592269992945017,0.16098618469156073,mod30,random_matched,3
0.75,224,0.20017873100983022,0.0017787669999052014,0.8526785714285714,0.8519961312479312,0.13129548065875138,mod30,random_matched,3
0.7999999999999999,239,0.21358355674709562,0.001706796000007671,0.8451882845188284,0.8434933600241667,0.07185883989365877,mod30,random_matched,3
0.85,254,0.22698838248436104,0.001725700999941182,0.8543307086614174,0.8514827061355167,0.08243440079373454,mod30,random_matched,3
0.9,269,0.24039320822162646,0.0018013050000718067,0.8513011152416357,0.8487486471861472,0.0695256983964041,mod30,random_matched,3
0.95,284,0.2537980339588919,0.0017115579998971953,0.8485915492957746,0.8448760030224922,0.07206509836498887,mod30,random_matched,3
1.0,298,0.26630920464700625,0.0017091830000026675,0.8523489932885906,0.8464400992837058,0.09120679417744751,mod30,random_matched,3
0.05,15,0.013404825737265416,0.0019635649998690496,0.7333333333333333,0.8229166666666666,0.5376228775692582,mod30,random_matched,4
0.1,30,0.02680965147453083,0.0016694389998974657,0.8333333333333334,0.8506410256410257,0.33762287756925824,mod30,random_matched,4
0.15,45,0.040214477211796246,0.0017291350000050443,0.8666666666666667,0.8772727272727272,0.16562406910932378,mod30,random_matched,4
0.2,60,0.05361930294906166,0.0015657880001072044,0.8666666666666667,0.8688644688644689,0.12117962466487936,mod30,random_matched,4
0.25,75,0.06702412868632708,0.0022000879998813616,0.8666666666666667,0.8688467492260061,0.09093833780160857,mod30,random_matched,4
0.3,90,0.08042895442359249,0.00256418300000405,0.8777777777777778,0.8762265512265512,0.09538278224605298,mod30,random_matched,4
0.35,105,0.0938337801608579,0.002847812000027261,0.8857142857142857,0.8836542508417509,0.0795097663730372,mod30,random_matched,4
0.39999999999999997,120,0.10723860589812333,0.002658621999898969,0.8833333333333333,0.8797619047619047,0.050938337801608585,mod30,random_matched,4
0.44999999999999996,135,0.12064343163538874,0.0027495860001636174,0.8666666666666667,0.8650229978354979,0.08960381292820968,mod30,random_matched,4
0.49999999999999994,149,0.13315460232350312,0.002679465000028358,0.8791946308724832,0.8783529635258359,0.11134102236536694,mod30,random_matched,4
0.5499999999999999,164,0.14655942806076855,0.0027368730000034702,0.8658536585365854,0.8647368421052632,0.12410906950892561,mod30,random_matched,4
0.6,179,0.15996425379803395,0.0027651220000279864,0.8715083798882681,0.8687689122471731,0.10121766741054714,mod30,random_matched,4
0.65,194,0.17336907953529937,0.0027962169999682374,0.8814432989690721,0.8789289897478867,0.05481698497369705,mod30,random_matched,4
0.7,209,0.1867739052725648,0.002734480999833977,0.8803827751196173,0.8788070872736687,0.0748617827776851,mod30,random_matched,4
0.75,224,0.20017873100983022,0.0028396330001214665,0.8839285714285714,0.8819278125020282,0.06879548065875143,mod30,random_matched,4
0.7999999999999999,239,0.21358355674709562,0.0028374080000048707,0.891213389121339,0.8884255020054423,0.052056341398663636,mod30,random_matched,4
