schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence
random_matched,random_matched,2,0.2,60,0.05361930294906166,0.001793944999917585,0.85,0.8540911101282618,0.1992850759606792,1.089461340431176,0.8516048309773315
random_matched,random_matched,2,0.25,75,0.06702412868632708,0.0018680740000718288,0.8533333333333334,0.8594147080989187,0.18595174262734593,1.1524663673046476,1.0215192344462598
random_matched,random_matched,2,0.3,90,0.08042895442359249,0.001856244999999035,0.8666666666666667,0.8703673777203189,0.15484063151623473,1.1789984430295741,0.9924813983503276
random_matched,random_matched,2,0.35,105,0.0938337801608579,0.0018907219999846347,0.8571428571428571,0.8556977991419036,0.13261840929401256,1.2036291941302601,1.0475857680237302
random_matched,random_matched,2,0.39999999999999997,120,0.10723860589812333,0.0019985950000318553,0.85,0.849823081452997,0.11166219839142086,1.2048709691726074,1.0548479953108338
random_matched,random_matched,2,0.44999999999999996,135,0.12064343163538874,0.0018216040000424982,0.8444444444444444,0.8424504719185122,0.10298877966438291,1.222304519238677,1.0834573668315868
random_matched,random_matched,2,0.49999999999999994,149,0.13315460232350312,0.0018134999999119827,0.8389261744966443,0.8362041467304626,0.10864206416323297,1.1794897389795924,1.0215192344462598
random_matched,random_matched,2,0.5499999999999999,164,0.14655942806076855,0.0019252380000125413,0.8414634146341463,0.8390246449456975,0.08605244229385989,1.1567266128976377,1.0187724319520433
random_matched,random_matched,2,0.6,179,0.15996425379803395,0.001971664000052442,0.8379888268156425,0.8357554600787683,0.06334466627725274,1.1328317852424796,0.9634435622543953
random_matched,random_matched,2,0.65,194,0.17336907953529937,0.001834095000049274,0.8505154639175257,0.8463520668709348,0.05215444570354605,1.1987976919794205,1.0310266203624796
random_matched,random_matched,2,0.7,209,0.1867739052725648,0.0019001489999936894,0.8564593301435407,0.8545329670329671,0.03501075379162025,1.2199796273891312,1.0475857680237302
random_matched,random_matched,2,0.75,224,0.20017873100983022,0.001900777999935599,0.8616071428571429,0.8595856524427954,0.041546980722583976,1.2586808125821667,1.0600299946789649
random_matched,random_matched,2,0.7999999999999999,239,0.21358355674709562,0.0023475670000152604,0.8619246861924686,0.8599197157632107,0.057478097973010844,1.2456014680548726,1.0579497667599922
random_matched,random_matched,2,0.85,254,0.22698838248436104,0.002341400999966936,0.8661417322834646,0.865647540251446,0.06953621413945243,1.2407441382717692,1.0600299946789649
random_matched,random_matched,2,0.9,269,0.24039320822162646,0.0020951569999851927,0.8661710037174721,0.8663299239883746,0.06537967051037996,1.240790819394624,1.0553086638798248
random_matched,random_matched,2,0.95,284,0.2537980339588919,0.0023056709999309533,0.8732394366197183,0.8722012915701142,0.0827889589548012,1.256594286138026,1.082508744666659
random_matched,random_matched,2,1.0,298,0.26630920464700625,0.0022444809999342397,0.8758389261744967,0.8747177935983861,0.05610834217991861,1.273387544847471,1.0939586996755
random_matched,random_matched,3,0.05,15,0.013404825737265416,0.0016486740000800637,1.0,1.0,0.14548704200178725,1.402747534851156,0.7556258730855625
random_matched,random_matched,3,0.1,30,0.02680965147453083,0.0016723400000273614,0.9,0.9058441558441559,0.25093833780160857,1.2624983315383858,0.8532092003153338
random_matched,random_matched,3,0.15,45,0.040214477211796246,0.001814881999962381,0.9111111111111111,0.9135416666666667,0.21793267798629729,1.3255790607759326,1.337050662114549
random_matched,random_matched,3,0.2,60,0.05361930294906166,0.0017993630000319172,0.9166666666666666,0.9212454212454213,0.2176050044682752,1.4693207139239677,1.3640081931304875
random_matched,random_matched,3,0.25,75,0.06702412868632708,0.0019758199999841963,0.92,0.9227244582043344,0.1709383378016085,1.50012340597496,1.5536064371410754
random_matched,random_matched,3,0.3,90,0.08042895442359249,0.0018392580000181624,0.9222222222222223,0.9232348111658456,0.1620494489127197,1.5102905448232724,1.5389667619563951
