label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift
mod2310_random_05,mod2310,random_matched,5,1119,233,0.20822162645218945,0.000800467000090066,0.8927038626609443,0.890570727318435,0.02447003954327709
mod2310_random_06,mod2310,random_matched,6,1119,233,0.20822162645218945,0.0007862840000143478,0.8841201716738197,0.8862409245473761,0.07597218546602383
mod2310_random_07,mod2310,random_matched,7,1119,233,0.20822162645218945,0.0008126990001073864,0.871244635193133,0.8718469504046029,0.060515405002167094
mod2310_random_08,mod2310,random_matched,8,1119,233,0.20822162645218945,0.0009300570000050357,0.871244635193133,0.8676038386564702,0.07239756526941968
mod2310_random_09,mod2310,random_matched,9,1119,233,0.20822162645218945,0.000846140000021478,0.8755364806866953,0.8683388783057426,0.036045365458889894
mod2310_random_10,mod2310,random_matched,10,1119,233,0.20822162645218945,0.0008329929999035812,0.8927038626609443,0.8870163672363146,0.06323088901417959
mod2310_random_11,mod2310,random_matched,11,1119,233,0.20822162645218945,0.0008098690000224451,0.871244635193133,0.8666189742460929,0.12832579671457114
mod2310_random_12,mod2310,random_matched,12,1119,233,0.20822162645218945,0.0008482260000164388,0.8969957081545065,0.8930465367965368,0.06823995980469993
mod2310_random_13,mod2310,random_matched,13,1119,233,0.20822162645218945,0.0008176559999810706,0.8669527896995708,0.8705366667627725,0.13776862388628722
mod2310_random_14,mod2310,random_matched,14,1119,233,0.20822162645218945,0.0008050500000535976,0.9012875536480687,0.8965772432932471,0.08855239388325717
mod2310_random_15,mod2310,random_matched,15,1119,233,0.20822162645218945,0.0009466129999964323,0.8669527896995708,0.8633814102564104,0.025321504869077582
mod2310_random_16,mod2310,random_matched,16,1119,233,0.20822162645218945,0.0008814529999199294,0.9055793991416309,0.903416149068323,0.12832579671457117
mod2310_random_17,mod2310,random_matched,17,1119,233,0.20822162645218945,0.000948675000017829,0.9012875536480687,0.9043631100082713,0.07554261737372811
mod2310_random_18,mod2310,random_matched,18,1119,233,0.20822162645218945,0.000579936999884012,0.8927038626609443,0.8906463819896655,0.1486382307931284
mod2310_random_19,mod2310,random_matched,19,1119,233,0.20822162645218945,0.0009000160000596225,0.8969957081545065,0.8952291274325173,0.047076060400342096
mod2310_random_20,mod2310,random_matched,20,1119,233,0.20822162645218945,0.0008936110000377084,0.8927038626609443,0.8827753339850114,0.08855239388325722
mod2310_random_21,mod2310,random_matched,21,1119,233,0.20822162645218945,0.0006837020000602934,0.8841201716738197,0.8816657315248504,0.039190417563198326
mod2310_random_22,mod2310,random_matched,22,1119,233,0.20822162645218945,0.0006479920000401762,0.9055793991416309,0.8971941836459857,0.07996870289613273
mod2310_random_23,mod2310,random_matched,23,1119,233,0.20822162645218945,0.0008659290001560294,0.8669527896995708,0.8603518393557292,0.03161927993648528
mod2310_random_24,mod2310,random_matched,24,1119,233,0.20822162645218945,0.0007814069999767526,0.9141630901287554,0.9032204345152695,0.11286901625071435
mod2310_random_25,mod2310,random_matched,25,1119,233,0.20822162645218945,0.0009003579998534406,0.9184549356223176,0.9179226074576555,0.08141082434883995
mod2310_random_26,mod2310,random_matched,26,1119,233,0.20822162645218945,0.0008790039998984867,0.927038626609442,0.925404468412943,0.05565975138746654
mod2310_random_27,mod2310,random_matched,27,1119,233,0.20822162645218945,0.0010783350001020153,0.8755364806866953,0.8750078468298808,0.08999451533596445
mod2310_random_28,mod2310,random_matched,28,1119,233,0.20822162645218945,0.0008289889999559819,0.8841201716738197,0.8810007374194482,0.03806280132092185
mod2310_random_29,mod2310,random_matched,29,1119,233,0.20822162645218945,0.0007751109999389882,0.8583690987124464,0.8612572595020412,0.08455587645314833
