label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,schedule_fraction,fraction_of_all_queries
mod210_random_progress_0.9_00,mod210,random_progress,0,1119,231,0.2064343163538874,0.001216600000134349,0.8831168831168831,0.8807945526695526,0.05522091849169594,0.9,0.2064343163538874
mod210_random_progress_0.9_01,mod210,random_progress,1,1119,231,0.2064343163538874,0.001115836000053605,0.8701298701298701,0.8670923560531054,0.05733319406241655,0.9,0.2064343163538874
mod210_random_progress_0.9_02,mod210,random_progress,2,1119,231,0.2064343163538874,0.0009102550000079646,0.8874458874458875,0.884920473557022,0.07464921137843389,0.9,0.2064343163538874
mod210_random_progress_0.9_03,mod210,random_progress,3,1119,231,0.2064343163538874,0.0008572210001602798,0.8961038961038961,0.8958113482002611,0.039970753107482354,0.9,0.2064343163538874
mod210_random_progress_0.9_04,mod210,random_progress,4,1119,231,0.2064343163538874,0.0008468120001907664,0.8917748917748918,0.8870802808302809,0.074602787739517,0.9,0.2064343163538874
mod210_random_progress_0.9_05,mod210,random_progress,5,1119,231,0.2064343163538874,0.0009214679998876818,0.8874458874458875,0.8864722493754752,0.11793925466847718,0.9,0.2064343163538874
mod210_random_progress_0.9_06,mod210,random_progress,6,1119,231,0.2064343163538874,0.001268923999987237,0.8787878787878788,0.8825417201540436,0.1361141093044578,0.9,0.2064343163538874
mod210_random_progress_0.9_07,mod210,random_progress,7,1119,231,0.2064343163538874,0.0009203790000356094,0.9090909090909091,0.9045424441781953,0.07258335944663019,0.9,0.2064343163538874
mod210_random_progress_0.9_08,mod210,random_progress,8,1119,231,0.2064343163538874,0.0015394380000088859,0.8961038961038961,0.8941484234500954,0.0737439504195537,0.9,0.2064343163538874
mod210_random_progress_0.9_09,mod210,random_progress,9,1119,231,0.2064343163538874,0.0015780660000928037,0.8874458874458875,0.8872943722943722,0.04570407251372399,0.9,0.2064343163538874
mod210_progress_1.0,mod210,deterministic_progress,-1,1119,256,0.2287756925826631,0.0012640639999972336,0.91796875,0.9157271740605074,0.1037687109025916,1.0,0.2287756925826631
mod210_random_progress_1.0_00,mod210,random_progress,0,1119,256,0.2287756925826631,0.0019653829999697336,0.875,0.8757757020761163,0.11581909070598745,1.0,0.2287756925826631
mod210_random_progress_1.0_01,mod210,random_progress,1,1119,256,0.2287756925826631,0.0011422589998346666,0.875,0.8734582735533237,0.09613075290437895,1.0,0.2287756925826631
mod210_random_progress_1.0_02,mod210,random_progress,2,1119,256,0.2287756925826631,0.0011451980001311313,0.9140625,0.9111847780683593,0.08187416219839144,1.0,0.2287756925826631
mod210_random_progress_1.0_03,mod210,random_progress,3,1119,256,0.2287756925826631,0.0009681949998139316,0.87890625,0.8813419117647059,0.08576295799821271,1.0,0.2287756925826631
mod210_random_progress_1.0_04,mod210,random_progress,4,1119,256,0.2287756925826631,0.0009627919998820289,0.84765625,0.8443223910906987,0.09000083780160856,1.0,0.2287756925826631
mod210_random_progress_1.0_05,mod210,random_progress,5,1119,256,0.2287756925826631,0.0010122969999883935,0.8671875,0.8647959183673469,0.07406166219839144,1.0,0.2287756925826631
